,source,translation
0,face masks,Masques faciaux
1,full on,complet sur
2,pepper-sprayed,gaz poivré
3,in tow,en remorque
4,random old lady,vieille dame aléatoire
5,a can of mace,une boîte de macis
6,for his troubles,pour ses ennuis
7,crying,pleurs
8,told,dit
9,fresh air,l’air frais
10,including,y compris
11,mask-shaming,masquage honteux
12,bystander,Spectateur
13,march,Mars
14,clashing,S' affrontent
15,leg injury,blessure à la jambe
16,such as,comme
17,deploying,déploiement
18,worrisome to her,inquiétant pour elle
19,it feels like,on a l’impression
