,source,translation
0,"Couple MACED at California dog park for not wearing face masks while having lunch (VIDEO) - RT USA News
","Couple MACED au parc canin de Californie pour ne pas porter de masque facial pendant le déjeuner (VIDEO) - RT USA News
"
1,"There's mask-shaming and then there's full on assault.
","Il y a la honte du masque et puis il y a l’assaut complet.
"
2,"A California couple having lunch with their puppy at a dog park experienced the second, when an irate woman pepper-sprayed them for refusing to mask up... while eating.
","Un couple californien déjeunant avec son chiot dans un parc pour chiens a vécu la seconde, lorsqu’une femme en colère les a aspergés de poivre pour avoir refusé de se masquer... tout en mangeant.
"
3,"Ash O'Brien and husband Jarett Kelley say they were grabbing a bite to eat at Dusty Rhodes dog park in San Diego on Thursday, with their three-month-old pug in tow.
","Ash O’Brien et son mari Jarett Kelley disent qu’ils mangeaient un morceau au parc canin Dusty Rhodes à San Diego jeudi, avec leur carlin de trois mois en remorque.
"
4,"The pair had their masks off to eat, when a ""random old lady"" approached, calling them ""idiots"" for not masking up, even though ""you can't wear a mask and eat at the same time.""
","Le couple avait leurs masques enlevés pour manger, quand une « vieille dame au hasard » s’est approchée, les traitant d'«idiots » pour ne pas se masquer, même si « vous ne pouvez pas porter un masque et manger en même temps ».
"
5,"O'Brien told the woman to leave the park and stop harassing her, at which point the woman unleashed a can of mace at the couple.
","O’Brien a dit à la femme de quitter le parc et d’arrêter de la harceler, à ce moment-là, la femme a lâché une canette de masse sur le couple.
"
6,"Video footage captured by a bystander begins with Kelley wrestling the spray can from the woman, and getting a dose of mace into the face for his troubles.
","La séquence vidéo capturée par un spectateur commence avec Kelley luttant contre la bombe aérosol de la femme et recevant une dose de masse dans le visage pour ses problèmes.
"
7,"O'Brien can be heard crying in the background as the attacker walks away with her dogs.
","On peut entendre O’Brien pleurer en arrière-plan alors que l’agresseur s’éloigne avec ses chiens.
"
8,"O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman ""go to jail.""
","O’Brien a partagé la vidéo sur Facebook et a déclaré à ABC 10 qu’elle voulait voir la femme « aller en prison ».
"
9,"Face masks are mandatory across the state of California, even in fresh air.
","Les masques faciaux sont obligatoires dans tout l’État de Californie, même à l’air frais.
"
10,"These masks can only be removed at a select few times, including when eating or drinking.
","Ces masques ne peuvent être retirés qu’à quelques moments choisis, y compris lorsque vous mangez ou buvez.
"
11,"However, nowhere in the state's coronavirus guidelines does it say that bystanders may use non-lethal weapons to enforce this policy.
","Cependant, nulle part dans les directives de l’État sur le coronavirus, il n’est dit que les passants peuvent utiliser des armes non létales pour appliquer cette politique.
"
12,"Even in the current era of ""mask-shaming,"" that's still a crime carrying a penalty of a fine of $1,000 or up to three years in a state prison.
","Même à l’ère actuelle de la « honte du masque », c’est toujours un crime passible d’une amende de 1 000 $ ou d’une peine pouvant aller jusqu’à trois ans dans une prison d’État.
"
13,"Seattle Protests: Fires and Pepper Spray as Thousands March Through City
","Manifestations à Seattle: incendies et gaz poivré alors que des milliers de personnes défilent dans la ville
"
14,"SEATTLE - After weeks of escalating confrontations between protesters and federal authorities in Portland, Ore., a crowd of about 2,000 people mobilized in Seattle on Saturday, marching through the streets and clashing with the police.
","SEATTLE - Après des semaines d’escalade des affrontements entre les manifestants et les autorités fédérales à Portland, dans l’Oregon, une foule d’environ 2 000 personnes s’est mobilisée samedi à Seattle, défilant dans les rues et affrontant la police.
"
15,"Three police officers were injured, including one who was hospitalized with a leg injury caused by an explosive, and 16 protesters were arrested as of early evening, the police said.
","Trois policiers ont été blessés, dont un hospitalisé pour une blessure à la jambe causée par un explosif, et 16 manifestants ont été arrêtés en début de soirée, a annoncé la police.
"
16,"Carrying signs such as ""Feds Go Home"" and shouting chants of ""No justice, no peace,"" the protesters stopped at the site of a future youth detention center and lit buildings there on fire. Some smashed windows of nearby businesses.
","Portant des pancartes telles que « Feds Go Home » et criant des slogans « Pas de justice, pas de paix », les manifestants se sont arrêtés sur le site d’un futur centre de détention pour jeunes et y ont incendié des bâtiments. Certains ont brisé des vitrines d’entreprises voisines.
"
17,"The police confronted the crowd in the Capitol Hill neighborhood, deploying flash grenades and pepper spray before they began taking people into custody.
","La police a affronté la foule dans le quartier de Capitol Hill, déployant des grenades éclair et du gaz poivré avant de commencer à placer les gens en détention.
"
18,"Bipasha Mukherjee, 52, of Kirkland, Wash., said she has been protesting on the streets since May and said it was worrisome to her to see such aggressive tactics by the police.
","Bipasha Mukherjee, 52 ans, de Kirkland, washington, a déclaré qu’elle manifestait dans les rues depuis mai et qu’il était inquiétant pour elle de voir de telles tactiques agressives de la part de la police.
"
19,"""This is not the country I immigrated to,"" said Ms. Mukherjee, who arrived from India more than 30 years ago. ""It feels like we are rapidly becoming a fascist state and a police state.""
","« Ce n’est pas le pays où j’ai immigré », a déclaré Mme Mukherjee, arrivée d’Inde il y a plus de 30 ans. « On a l’impression que nous devenons rapidement un État fasciste et un État policier. »
"
