,source,translation
0,"Couple MACED at California dog park for not wearing face masks while having lunch (VIDEO) - RT USA News
","Un couple se fait agresser dans un parc pour chiens en Californie parce qu'il ne portait pas de masque de protection pendant le déjeuner (VIDEO) - RT USA News
"
1,"There's mask-shaming and then there's full on assault.
","Il y a la honte du masque et il y a l'agression totale.
"
2,"A California couple having lunch with their puppy at a dog park experienced the second, when an irate woman pepper-sprayed them for refusing to mask up... while eating.
","Un couple californien qui déjeunait avec son chiot dans un parc pour chiens a connu la seconde, lorsqu'une femme en colère les a aspergés de gaz poivré parce qu'ils refusaient de se masquer... tout en mangeant.
"
3,"Ash O'Brien and husband Jarett Kelley say they were grabbing a bite to eat at Dusty Rhodes dog park in San Diego on Thursday, with their three-month-old pug in tow.
","Ash O'Brien et son mari Jarett Kelley disent qu'ils prenaient une bouchée au parc pour chiens Dusty Rhodes à San Diego jeudi, avec leur carlin de trois mois.
"
4,"The pair had their masks off to eat, when a ""random old lady"" approached, calling them ""idiots"" for not masking up, even though ""you can't wear a mask and eat at the same time.""
","Le duo avait enlevé son masque pour manger, quand une ""vieille dame aléatoire"" s'est approchée, les traitant d'""idiots"" pour ne pas avoir mis de masque, même si ""vous ne pouvez pas porter un masque et manger en même temps"".
"
5,"O'Brien told the woman to leave the park and stop harassing her, at which point the woman unleashed a can of mace at the couple.
","O'Brien a dit à la femme de quitter le parc et d'arrêter de la harceler, et c'est alors que la femme a lâché une bombe lacrymogène sur le couple.
"
6,"Video footage captured by a bystander begins with Kelley wrestling the spray can from the woman, and getting a dose of mace into the face for his troubles.
","La vidéo capturée par un spectateur montre Kelley en train d'arracher l'aérosol de la femme et de recevoir une dose de gaz lacrymogène en plein visage pour son malheur.
"
7,"O'Brien can be heard crying in the background as the attacker walks away with her dogs.
","On peut entendre O'Brien pleurer en arrière-plan alors que l'agresseur s'éloigne avec ses chiens.
"
8,"O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman ""go to jail.""
","O'Brien a partagé la vidéo sur Facebook et a déclaré à ABC 10 qu'elle voulait voir la femme ""aller en prison"".
"
9,"Face masks are mandatory across the state of California, even in fresh air.
","Les masques sont obligatoires dans tout l'État de Californie, même à l'air libre.
"
10,"These masks can only be removed at a select few times, including when eating or drinking.
","Ces masques ne peuvent être retirés qu'à quelques moments précis, notamment pour manger ou boire.
"
11,"However, nowhere in the state's coronavirus guidelines does it say that bystanders may use non-lethal weapons to enforce this policy.
","Cependant, les directives de l'État sur le coronavirus ne précisent nulle part que les passants peuvent utiliser des armes non létales pour faire respecter cette politique.
"
12,"Even in the current era of ""mask-shaming,"" that's still a crime carrying a penalty of a fine of $1,000 or up to three years in a state prison.
","Même à l'ère de la ""honte du masque"", il s'agit toujours d'un crime passible d'une amende de 1 000 dollars ou d'une peine de prison de trois ans.
"
13,"Seattle Protests: Fires and Pepper Spray as Thousands March Through City
","Manifestations à Seattle : Incendies et gaz poivrés alors que des milliers de personnes défilent dans la ville
"
14,"SEATTLE - After weeks of escalating confrontations between protesters and federal authorities in Portland, Ore., a crowd of about 2,000 people mobilized in Seattle on Saturday, marching through the streets and clashing with the police.
","SEATTLE - Après des semaines d'escalade des affrontements entre les manifestants et les autorités fédérales à Portland (Ore), une foule d'environ 2 000 personnes s'est mobilisée samedi à Seattle, défilant dans les rues et affrontant la police.
"
15,"Three police officers were injured, including one who was hospitalized with a leg injury caused by an explosive, and 16 protesters were arrested as of early evening, the police said.
","Trois policiers ont été blessés, dont un a été hospitalisé pour une blessure à la jambe causée par un explosif, et 16 manifestants ont été arrêtés en début de soirée, a indiqué la police.
"
16,"Carrying signs such as ""Feds Go Home"" and shouting chants of ""No justice, no peace,"" the protesters stopped at the site of a future youth detention center and lit buildings there on fire. Some smashed windows of nearby businesses.
","Portant des pancartes telles que ""Feds Go Home"" et criant ""Pas de justice, pas de paix"", les manifestants se sont arrêtés sur le site d'un futur centre de détention pour jeunes et ont mis le feu aux bâtiments. Certains ont brisé les vitres des commerces voisins.
"
17,"The police confronted the crowd in the Capitol Hill neighborhood, deploying flash grenades and pepper spray before they began taking people into custody.
","La police a affronté la foule dans le quartier de Capitol Hill, déployant des grenades flash et du gaz poivré avant de commencer à placer des personnes en garde à vue.
"
18,"Bipasha Mukherjee, 52, of Kirkland, Wash., said she has been protesting on the streets since May and said it was worrisome to her to see such aggressive tactics by the police.
","Bipasha Mukherjee, 52 ans, de Kirkland, dans l'État de Washington, a déclaré qu'elle manifestait dans les rues depuis le mois de mai et qu'il était inquiétant pour elle de voir des tactiques aussi agressives de la part de la police.
"
19,"""This is not the country I immigrated to,"" said Ms. Mukherjee, who arrived from India more than 30 years ago. ""It feels like we are rapidly becoming a fascist state and a police state.""
","""Ce n'est pas le pays dans lequel j'ai immigré"", a déclaré Mme Mukherjee, arrivée d'Inde il y a plus de 30 ans. ""J'ai l'impression que nous devenons rapidement un État fasciste et un État policier"".
"
