,source,translation
0,face masks,masques pour le visage
1,full on,complet
2,pepper-sprayed,aspergé de gaz poivré
3,in tow,en remorque
4,random old lady,une vieille dame au hasard
5,a can of mace,une bombe lacrymogène
6,for his troubles,pour ses problèmes
7,crying,pleurant
8,told,a dit à
9,fresh air,l'air frais
10,including,y compris
11,mask-shaming,masque de honte
12,bystander,spectateur
13,march,mars
14,clashing,clash
15,leg injury,blessure à la jambe
16,such as,comme
17,deploying,Déploiement de
18,worrisome to her,inquiétant pour elle
19,it feels like,on a l'impression
