,source,translation
0,face masks,masques faciaux
1,full on,complet sur
2,pepper-sprayed,aspergé de poivre
3,in tow,en remorque
4,random old lady,vieille dame au hasard
5,a can of mace,une boîte de macis
6,for his troubles,pour ses soucis
7,crying,pleurs
8,told,Raconté
9,fresh air,air frais
10,including,y compris
11,mask-shaming,masque honteux
12,bystander,spectateur
13,march,Mars
14,clashing,heurter
15,leg injury,blessure de jambe
16,such as,tel que
17,deploying,déploiement
18,worrisome to her,inquiétant pour elle
19,it feels like,c'est comme ressentir
