,source,translation
0,"Couple MACED at California dog park for not wearing face masks while having lunch (VIDEO) - RT USA News
",Couple MACED au parc canin de Californie pour ne pas avoir porté de masque facial pendant le déjeuner (VIDEO) - News 24
1,"There's mask-shaming and then there's full on assault.
",Il y a la honte du masque et puis il y a une agression totale.
2,"A California couple having lunch with their puppy at a dog park experienced the second, when an irate woman pepper-sprayed them for refusing to mask up... while eating.
","Un couple californien en train de déjeuner avec leur chiot dans un parc à chiens a vécu la seconde, lorsqu'une femme en colère les a aspergés de gaz poivré pour avoir refusé de se masquer... en mangeant."
3,"Ash O'Brien and husband Jarett Kelley say they were grabbing a bite to eat at Dusty Rhodes dog park in San Diego on Thursday, with their three-month-old pug in tow.
","Ash O'Brien et son mari Jarett Kelley ont déclaré qu'ils allaient manger un morceau au parc à chiens Dusty Rhodes à San Diego jeudi, avec leur carlin de trois mois."
4,"The pair had their masks off to eat, when a ""random old lady"" approached, calling them ""idiots"" for not masking up, even though ""you can't wear a mask and eat at the same time.""
","Les deux hommes avaient enlevé leurs masques pour manger, lorsqu'une ""vieille dame au hasard"" s'est approchée, les qualifiant d'""idiots"" pour ne pas s'être masqués, même si ""vous ne pouvez pas porter de masque et manger en même temps""."
5,"O'Brien told the woman to leave the park and stop harassing her, at which point the woman unleashed a can of mace at the couple.
","O'Brien a dit à la femme de quitter le parc et d'arrêter de la harceler, à quel point la femme a lâché une boîte de masse sur le couple."
6,"Video footage captured by a bystander begins with Kelley wrestling the spray can from the woman, and getting a dose of mace into the face for his troubles.
",La séquence vidéo capturée par un spectateur commence avec Kelley luttant contre la bombe aérosol de la femme et recevant une dose de masse sur le visage pour ses problèmes.
7,"O'Brien can be heard crying in the background as the attacker walks away with her dogs.
",On peut entendre O'Brien pleurer en arrière-plan alors que l'attaquant s'éloigne avec ses chiens.
8,"O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman ""go to jail.""
","O'Brien a partagé la vidéo sur Facebook et a déclaré à ABC 10 qu'elle voulait voir la femme ""aller en prison""."
9,"Face masks are mandatory across the state of California, even in fresh air.
","Les masques faciaux sont obligatoires dans tout l'État de Californie, même à l'air frais."
10,"These masks can only be removed at a select few times, including when eating or drinking.
","Ces masques ne peuvent être retirés qu'à quelques moments choisis, y compris lorsque vous mangez ou buvez."
11,"However, nowhere in the state's coronavirus guidelines does it say that bystanders may use non-lethal weapons to enforce this policy.
","Cependant, nulle part dans les directives de l'État sur les coronavirus, il n'est indiqué que les passants peuvent utiliser des armes non létales pour appliquer cette politique."
12,"Even in the current era of ""mask-shaming,"" that's still a crime carrying a penalty of a fine of $1,000 or up to three years in a state prison.
","Même à l'ère actuelle du ""mask-shaming"", c'est toujours un crime passible d'une amende de 1 000 dollars ou jusqu'à trois ans de prison d'État."
13,"Seattle Protests: Fires and Pepper Spray as Thousands March Through City
",Manifestations à Seattle : incendies et gaz poivré alors que des milliers de personnes défilent dans la ville
14,"SEATTLE - After weeks of escalating confrontations between protesters and federal authorities in Portland, Ore., a crowd of about 2,000 people mobilized in Seattle on Saturday, marching through the streets and clashing with the police.
","SEATTLE – Après des semaines d'affrontements croissants entre les manifestants et les autorités fédérales à Portland, Oregon, une foule d'environ 2 000 personnes s'est mobilisée à Seattle samedi, défilant dans les rues et affrontant la police."
15,"Three police officers were injured, including one who was hospitalized with a leg injury caused by an explosive, and 16 protesters were arrested as of early evening, the police said.
","Trois policiers ont été blessés, dont un hospitalisé pour une blessure à la jambe causée par un explosif, et 16 manifestants ont été interpellés en début de soirée, a indiqué la police."
16,"Carrying signs such as ""Feds Go Home"" and shouting chants of ""No justice, no peace,"" the protesters stopped at the site of a future youth detention center and lit buildings there on fire. Some smashed windows of nearby businesses.
","Portant des pancartes telles que ""Feds Go Home"" et criant ""Pas de justice, pas de paix"", les manifestants se sont arrêtés sur le site d'un futur centre de détention pour jeunes et y ont mis le feu à des bâtiments. Certaines vitrines brisées de commerces à proximité."
17,"The police confronted the crowd in the Capitol Hill neighborhood, deploying flash grenades and pepper spray before they began taking people into custody.
","La police a affronté la foule dans le quartier de Capitol Hill, déployant des grenades éclair et du gaz poivré avant de commencer à arrêter les gens."
18,"Bipasha Mukherjee, 52, of Kirkland, Wash., said she has been protesting on the streets since May and said it was worrisome to her to see such aggressive tactics by the police.
","Bipasha Mukherjee, 52 ans, de Kirkland, Washington, a déclaré qu'elle manifestait dans les rues depuis mai et a déclaré qu'il était inquiétant pour elle de voir des tactiques aussi agressives de la part de la police."
19,"""This is not the country I immigrated to,"" said Ms. Mukherjee, who arrived from India more than 30 years ago. ""It feels like we are rapidly becoming a fascist state and a police state.""
","""Ce n'est pas le pays dans lequel j'ai immigré"", a déclaré Mme Mukherjee, qui est arrivée d'Inde il y a plus de 30 ans. ""On a l'impression que nous devenons rapidement un État fasciste et un État policier."""
